global_step,episode,episode_return,episode_length,epsilon,loss,eval_mean_return,wall_time_sec
10483,387,19.0,19,0.834019,0.3621703088283539,298.0,9.352
10541,388,58.0,58,0.833101,0.32549160718917847,298.0,9.408
10581,389,40.0,40,0.832468,0.5546746253967285,298.0,9.447
10643,390,62.0,62,0.831486,1.702563762664795,298.0,9.502
10660,391,17.0,17,0.831217,0.7842295169830322,298.0,9.519
10669,392,9.0,9,0.831074,0.9472806453704834,298.0,9.531
10704,393,35.0,35,0.83052,0.0884011760354042,298.0,9.56
10722,394,18.0,18,0.830235,0.5538724660873413,298.0,9.576
10737,395,15.0,15,0.829997,0.36645475029945374,298.0,9.589
10753,396,16.0,16,0.829744,0.5937442779541016,298.0,9.605
10795,397,42.0,42,0.829079,1.1771907806396484,298.0,9.642
10806,398,11.0,11,0.828905,0.8934106826782227,298.0,9.652
10817,399,11.0,11,0.828731,0.06606661528348923,298.0,9.661
10863,400,46.0,46,0.828002,0.7595980763435364,298.0,9.706
10884,401,21.0,21,0.82767,0.11221273243427277,298.0,9.724
10904,402,20.0,20,0.827353,0.42570799589157104,298.0,9.741
10945,403,41.0,41,0.826704,0.5619596242904663,298.0,9.778
10973,404,28.0,28,0.826261,0.11680004000663757,298.0,9.8
10995,405,22.0,22,0.825913,1.1371592283248901,298.0,9.816
11012,406,17.0,17,0.825643,1.9214848279953003,298.0,9.831
11026,407,14.0,14,0.825422,0.6145144104957581,298.0,9.844
11050,408,24.0,24,0.825042,0.10188077390193939,298.0,9.862
11110,409,60.0,60,0.824092,0.15455172955989838,298.0,9.916
11152,410,42.0,42,0.823427,1.3642292022705078,298.0,9.953
11165,411,13.0,13,0.823221,0.835697591304779,298.0,9.969
11192,412,27.0,27,0.822793,0.5699544548988342,298.0,9.992
11201,413,9.0,9,0.822651,0.22926518321037292,298.0,10.001
11259,414,58.0,58,0.821732,0.19058623909950256,298.0,10.047
11275,415,16.0,16,0.821479,0.4169882535934448,298.0,10.059
11381,416,106.0,106,0.819801,0.10601668059825897,298.0,10.152
11413,417,32.0,32,0.819294,0.07701531052589417,298.0,10.182
11450,418,37.0,37,0.818708,1.870563268661499,298.0,10.21
